Japanese	English
GIEL h1099	GIEL h1099
GIEL h1100	GIEL h1100
GIEL h1101	GIEL h1101
GIEL h1103	GIEL h1103
GIEL h1104	GIEL h1104
GIEL h1106	GIEL h1106
GIEL h1109	GIEL h1109
GIEL h1110	GIEL h1110
GIEL h1111	GIEL h1111
GIEL h1112	GIEL h1112
GIEL h1113	GIEL h1113
GIEL h1114	GIEL h1114
GIEL h1117	GIEL h1117
GIEL h1118	GIEL h1118
GIEL h1119	GIEL h1119
GIEL h1120	GIEL h1120
GIEL h1122	GIEL h1122
GIEL h1124	GIEL h1124
(test) 扉またぎポイント00	point 00 straddles (test) door
(test) 扉またぎポイント01	point 01 straddles (test) door
GIEL h1000	GIEL h1000
GIEL h1001	GIEL h1001
GIEL h1002	GIEL h1002
GIEL h1003	GIEL h1003
GIEL h1004	GIEL h1004
GIEL h1005	GIEL h1005
GIEL h1007	GIEL h1007
GIEL h1008	GIEL h1008
GIEL h1009	GIEL h1009
GIEL h1011	GIEL h1011
GIEL h1015	GIEL h1015
GIEL h1018	GIEL h1018
GIEL h1020	GIEL h1020
GIEL h1021	GIEL h1021
GIEL h1022	GIEL h1022
GIEL h1026	GIEL h1026
GIEL h1031	GIEL h1031
GIEL h1032	GIEL h1032
GIEL h1034	GIEL h1034
GIEL h1036	GIEL h1036
GIEL h1039	GIEL h1039
GIEL h1040	GIEL h1040
GIEL h1042	GIEL h1042
GIEL h1046	GIEL h1046
GIEL h1047	GIEL h1047
GIEL h1048	GIEL h1048
GIEL h1049	GIEL h1049
GIEL h1050	GIEL h1050
GIEL h1053	GIEL h1053
GIEL h1055	GIEL h1055
GIEL h1057	GIEL h1057
GIEL h1060	GIEL h1060
GIEL h1066	GIEL h1066
GIEL h1086	GIEL h1086
GIEL h1092	GIEL h1092
GIEL h1093	GIEL h1093
GIEL h1095	GIEL h1095
GIEL h1099	GIEL h1099
GIEL h1100	GIEL h1100
GIEL h1101	GIEL h1101
GIEL h1103	GIEL h1103
GIEL h1104	GIEL h1104
GIEL h1106	GIEL h1106
GIEL h1109	GIEL h1109
GIEL h1110	GIEL h1110
GIEL h1111	GIEL h1111
GIEL h1112	GIEL h1112
GIEL h1113	GIEL h1113
GIEL h1114	GIEL h1114
GIEL h1117	GIEL h1117
GIEL h1118	GIEL h1118
GIEL h1119	GIEL h1119
GIEL h1120	GIEL h1120
GIEL h1121	GIEL h1121
GIEL h1122	GIEL h1122
GIEL h1124	GIEL h1124
NPC 免罪時初期配置 ローガン弟子	NPC acquittal during initial placement Logan disciple
NPC 免罪時初期配置 乞食商人A	NPC acquittal during initial placement beggar merchant A
NPC 免罪時初期配置 太陽騎士	NPC acquittal during initial placement sun knight
NPC 免罪時初期配置 鍛冶屋アンドレ	NPC acquittal during initial placement blacksmith Andre
NPC 免罪時初期配置 白の聖女	Saint of NPC impunity during initial placement white
NPC 免罪時初期配置 抱かれ騎士ロートレク	Knight Rotoreku embraced initial placement NPC exonerated when
SFX マップに振る火の粉	Sparks shake SFX map
SFX 隠し部屋蜀台	SFX hidden room蜀台
SFX 階段蜀台	SFX stairs蜀台
SFX 教会石像蜀台00	SFX church stone statue蜀台00
SFX 教会石像蜀台01	SFX church stone statue蜀台01
SFX 教会石像蜀台02	SFX church stone statue蜀台02
SFX 教会石像蜀台03	SFX church stone statue蜀台03
SFX 教会石像蜀台04	SFX church stone statue蜀台04
SFX 教会石像蜀台05	SFX church stone statue蜀台05
SFX 教会石像蜀台06	SFX church stone statue蜀台06
SFX 教会石像蜀台07	SFX church stone statue蜀台07
SFX 光の壁 CP1	CP1 wall of light SFX
SFX 光の壁 CP2	CP2 SFX wall of light
SFX 光の壁 ボス後	Wall boss after SFX light
SFX 光の壁 ボス前	Wall boss before the SFX light
SFX 光の壁 マルチ1	Multi- wall 1 of SFX light
SFX 光の壁 マルチ10	Multi- wall 10 of SFX light
SFX 光の壁 マルチ11	Multi- wall 11 of SFX light
SFX 光の壁 マルチ2	Multi- wall 2 of SFX light
SFX 光の壁 マルチ3	Multi- wall 3 of SFX light
SFX 光の壁 マルチ4	Multi- wall 4 of SFX light
SFX 光の壁 マルチ5	Multi- wall 5 of SFX light
SFX 光の壁 マルチ6	Multi- wall 6 of SFX light
SFX 光の壁 マルチ7	Multi- wall 7 of SFX light
SFX 光の壁 マルチ8 	Multi- wall 8 of SFX light
SFX 光の壁 マルチ9	Multi- wall 9 of SFX light
SFX 光の壁 中ボス1後	Wall boss one after the SFX light
SFX 光の壁 中ボス1前	Wall in front of the boss 1 SFX light
SFX 光の壁 中ボス2前	Wall in front of the boss 2 SFX light
SFX 祭壇蜀台1	SFX altar蜀台1
SFX 祭壇蜀台2	SFX altar蜀台2
SFX 燃える死体（少）	Burning corpses SFX ( less)
SFX 燃える死体（少）01	Burning corpses SFX ( small ) 01
SFX 燃える死体（少）02	Burning corpses SFX ( small ) 02
SFX 燃える死体（少）03	Burning corpses SFX ( small ) 03
SFX 燃える死体（少）04	Burning corpses SFX ( small ) 04
SFX 燃える死体（少）05	Burning corpses SFX ( small ) 05
SFX 燃える死体（少）06	Burning corpses SFX ( small ) 06
SFX 燃える死体（少）07	Burning corpses SFX ( small ) 07
SFX 燃える死体（多）	Burning corpses SFX ( many)
SFX　m2012　松明01	SFX m2012 torch 01
SFX　m2012　松明02	SFX m2012 torch 02
SFX　m2012　松明03	SFX m2012 torch 03
SFX　m2020　松明18	SFX m2020 torch 18
SFX　m2020　松明19	SFX m2020 torch 19
SFX　m2061　松明04	SFX m2061 torch 04
SFX　m2061　松明05	SFX m2061 torch 05
SFX　m2061　松明06	SFX m2061 torch 06
SFX　m2061　松明07	SFX m2061 torch 07
SFX　m2063　松明01	SFX m2063 torch 01
SFX　m2063　松明02	SFX m2063 torch 02
SFX　m2063　松明03	SFX m2063 torch 03
SFX　m2063　松明04	SFX m2063 torch 04
SFX　m2063　松明05	SFX m2063 torch 05
SFX　m2063　松明06	SFX m2063 torch 06
SFX　m2063　松明07	SFX m2063 torch 07
SFX　m2220　松明13	SFX m2220 torch 13
SFX　m2340　松明15	SFX m2340 torch 15
SFX　m2340　松明16	SFX m2340 torch 16
SFX　m2340　松明17	SFX m2340 torch 17
SFX　m2341　松明09	SFX m2341 torch 09
SFX　m2341　松明10	SFX m2341 torch 10
SFX　m2341　松明14	SFX m2341 torch 14
SFX　m2350　松明12	SFX m2350 torch 12
SFX　m3004　松明11	SFX m3004 torch 11
SFX　m3121　松明01	SFX m3121 torch 01
SFX　m3121　松明02	SFX m3121 torch 02
SFX　m3121　松明03	SFX m3121 torch 03
SFX　m3121　松明04	SFX m3121 torch 04
SFX　m3121　松明05	SFX m3121 torch 05
SFX　m3220　松明20	SFX m3220 torch 20
SFX　m3220　松明21	SFX m3220 torch 21
SFX　m3220　松明22	SFX m3220 torch 22
SFX　m3221　松明23	SFX m3221 torch 23
SFX　m3221　松明24	SFX m3221 torch 24
SFX　m3221　松明25	SFX m3221 torch 25
SFX　m3221　松明26	SFX m3221 torch 26
SFX　m3222　松明27	SFX m3222 torch 27
SFX　m3222　松明28	SFX m3222 torch 28
SFX　m3222　松明29	SFX m3222 torch 29
SFX　m3222　松明30	SFX m3222 torch 30
SFX　松明06	SFX Torch 06
SFX　松明07	SFX Torch 07
SFX　松明08	SFX Torch 08
event CP光の壁1後 入場判定	wall 1 entry after judgment of event CP light
event CP光の壁1前 入場判定	1 wall before admission decision of event CP light
event CP光の壁2後 入場判定	wall 2 after admission decision of event CP light
event CP光の壁2前 入場判定	front wall 2 admission decision of event CP light
event NPC 太陽の祭壇へ移動先	destination to the altar of the event NPC sun
event NPC変更後の巣	nest of event NPC changed
event SOS 太陽騎士	event SOS sun knight
event SOS 抱かれ騎士ロートレク	Knight Rotoreku embraced event SOS
event ガーゴイル2匹目 移動後位置	two dogs first position after moving event gargoyle
event ガーゴイル2匹目 初期位置	two dogs first initial position event gargoyle
event トラップ盗賊 ワープ先	event trap thieves warp destination
event ハンマーデーモンの雑魚たちが逃げる巣	nest of small fish who hammer event daemon escape
event ハンマーデーモン登場領域	event hammer daemon appearance area
event ヘルカイト A'地点	event Hellkite A ' point
event ヘルカイト A地点	A point event Hellkite
event ヘルカイト A反応	A reaction event Hellkite
event ヘルカイト BC奥	event Hellkite BC back
event ヘルカイト BC手前	event Hellkite BC front
event ヘルカイト B地点	event Hellkite point B
event ヘルカイト C地点	event Hellkite point C
event ヘルカイト 階段付近	event Hellkite stairs near
event ヘルカイト 制御用 帰宅領域	Hellkite event control area return home
event ヘルカイト 制御用【領域A】	Hellkite event control area [ A ]
event ヘルカイト 制御用【領域B】	Hellkite event control area [ B ]
event ヘルカイト 制御用【領域C】	event Hellkite control [ C ] area
event ヘルカイト 制御用【領域D】	Hellkite event control area [ D ]
event ヘルカイト 制御用【領域E】 元・Depth140	Hellkite event control area [ E ] · Depth140 original
event ヘルカイト 制御用【領域F-1】	Hellkite event control area [ F-1 ]
event ヘルカイト 制御用【領域F-2】	Hellkite event control area [ F-2 ]
event ヘルカイト 制御用【領域G】	Hellkite event control area [ G ]
event ヘルカイト 制御用【領域H】	Hellkite event control area [ H ]
event ヘルカイト移動領域	event Hellkite moving region
event ボス部屋 BGM再生領域	event boss room BGM playback area
event ボス部屋 BGM停止領域	event boss room BGM stop area
event ボス部屋 ポリ劇判定	event boss room poly play decision
event ボス部屋 侵入イベント PC移動目標	event boss room intrusion events moving target PC
event ボス部屋 侵入イベント 発生領域	event boss room intrusion event generation area
event ボス部屋 戦闘開始	event boss battle room start
event ボス予兆 SE	event boss foretaste SE
event ボス予兆 カメラ震源地	event boss symptom camera epicenter
event ボス予兆 砂埃1	event boss foretaste dust 1
event ボス予兆 砂埃2	event boss foretaste dust 2
event ボス予兆 砂埃3	event boss foretaste dust 3
event ボス予兆 砂埃4	event boss foretaste dust 4
event ボス予兆 砂埃5	event prediction dust boss 5
event ボス予兆 砂埃6	event boss foretaste dust 6
event ボス予兆発生領域	event boss prediction generation area
event 隠れ家に逃げる不死人 移動先	immortality who destination to escape the event hideout
event 隠れ家に逃げる不死人 戦闘開始判定	immortality people start fighting determination to escape event hideout
event 隠れ家に逃げる不死人 反応領域	immortality who reaction area to escape the event hideout
event 挟み撃ち重騎士飛び降り判定	judgment jumping event pincer attack heavy knight
event 教会での奇襲領域	surprise in the event area church
event 樽から飛び出す結晶トカゲの巣	nest of crystal lizard jump out of the barrel event
event 中ボス2 BGM領域	2 BGM area event during boss
event 中ボス2 移動目標	2 moving target event during boss
event 中ボス2 戦闘開始	2 start fighting event Boss
event 中ボス2 入場判定	2 event admission decision during boss
event 中ボス部屋 BGM再生領域	event in the boss room BGM playback area
event 中ボス部屋 侵入イベント PC移動目標	event in the boss room intrusion events moving target PC
event 中ボス部屋 侵入イベント 発生領域	event in the boss room intrusion event generation area
event 中ボス部屋 戦闘開始	event during the boss battle room start
event 敵が閉門を判断する領域	area event enemy to determine the closed gate
event 塔から飛び出す重戦士 反応領域	Weight warrior reaction zone jump out event tower
event 燃える玉発射領域	Ball launch area burning event
event 扉から奇襲00領域	00 area surprise event from door
event 扉から奇襲01領域	01 area surprise event from door
event 扉開錠効果 鍵あり	There TobiraHirakijo effect key event
event 扉開錠効果 鍵なし	No event TobiraHirakijo effect key
event 扉破り敵出現領域	event door -breaking enemy appearance area
event 螺旋階段塔の上のボウガン兵が反応する領域	area Crossbow soldiers on the event spiral staircase tower to react
event 隣から扉蹴破り 位置あわせ	The combined position Keyaburi door from the event next
event 隣から扉蹴破り 発生判定	occurrence determination Keyaburi door from the event next
logic アーマードタスク用　門の奥のポイント	point at the back of the logic Armored task Gate
logic アーマードタスク用　門の奥の領域	area at the back of the logic Armored task Gate
logic アーマードタスク用　門の手前のポイント	point in front of the logic Armored task Gate
logic アーマードタスク用　門の手前の領域	area in front of the logic Armored task Gate
logic ガーゴイル 狭い通路攻撃領域	passage attack area narrow logic gargoyle
logic ガーゴイルステップ可能領域	logic gargoyle step area
logic ガーゴイルステップ可能領域2	logic gargoyle step area 2
logic ガーゴイルステップ可能領域3	logic gargoyle step region 3
logic ハベル戦闘領域	logic Havel combat area
logic ハンマーデーモンPC下に居る	I 'm in logic hammer daemon under PC
logic ハンマーデーモンPC上に居る	I 'm in logic hammer daemon on the PC
logic ハンマーデーモン飛び降り開始	start jumping logic hammer daemon
logic ハンマーデーモン飛び降り旋回対象	turning target jumped logic hammer daemon
logic ハンマーデーモン飛び上り開始	start up jump logic hammer daemon
logic ハンマーデーモン飛び上り旋回対象	turning up the subject jump logic hammer daemon
logic ヘルカイト 安全地帯許さん１	1 does allow logic Hellkite safety zone
logic ヘルカイト 安全地帯許さん２	2 does allow logic Hellkite safety zone
logic ヘルカイト 安全地帯許さん３	3 does allow logic Hellkite safety zone
logic ヘルカイト 安全地帯許さん４	4 does allow logic Hellkite safety zone
logic ヘルカイト 進入禁止　橋側	logic Hellkite No Trespassing Bridge side
logic ヘルカイト 進入禁止　塔側	logic Hellkite No Trespassing tower side
logic ヘルカイト　バックステップ管理用１	logic Hell kite back for one step management
logic ヘルカイト　バックステップ管理用２	logic Hell Kite step back management 2
logic ヘルカイト　飛び越え攻撃管理用１	Hellkite logic 1 for management jumping attack
logic ヘルカイト　飛び越え攻撃管理用１	Hellkite logic 1 for management jumping attack
logic ヘルカイト　飛び立ちブレス管理用１	Breath management for one flew logic Hellkite
logic ヘルカイト　飛び立ちブレス管理用２	Breath management for two flew logic Hellkite
logic ヘルカイトがＰＣを追える　橋側	bridge side logic Hellkite is chase the PC
logic ヘルカイトがＰＣを追える　塔側	tower side logic Hellkite is chase the PC
logic ヘルカイト強制旋回　橋方向	logic Hellkite Force swing bridge direction
logic ヘルカイト強制旋回　塔方向	logic Hellkite Force tower turning direction
logic 四騎士D用　２階から射撃で狙う領域	region aim at shooting from the second floor four horsemen D for logic
logic 四騎士D用　２階で待機し続ける領域	area to continue to wait on the second floor four horsemen D for logic
logic 四騎士D用　バイキルト領域	four horsemen D for Baikiruto area logic
logic 太陽騎士　ボス部屋入口から退去する目的地	destination you want to leave the logic sun knight boss room entrance
logic 太陽騎士　ボス部屋入口周辺	logic sun knight boss room entrance around
logic 徘徊デーモンの巣	nest of logic wandering daemon
logic 徘徊デーモン消極攻撃領域１	logic loitering daemon negative attack area 1
logic 徘徊デーモン消極攻撃領域２	logic loitering daemon negative attack region 2
logic 徘徊デーモン積極攻撃領域	logic loitering daemon actively attack area
logic　ヘルカイト移動テスト10	Hellkite move logic test 10
logic　ヘルカイト移動テスト11	Hellkite move logic test 11
logic　ヘルカイト移動テスト12	Hellkite move logic test 12
logic　ヘルカイト移動テスト13	Hellkite move logic test 13
logic　ヘルカイト移動テスト14	Hellkite move logic test 14
logic　ヘルカイト移動テスト15	Hellkite move logic test 15
logic　ヘルカイト移動テスト16	Hellkite move logic test 16
logic　ヘルカイト移動テスト17	Hellkite move logic test 17
logic　ヘルカイト移動テスト8	logic Hellkite move Test 8
logic　ヘルカイト移動テスト9	Hellkite move logic test 9
logic　ヘルカイト移動テスト１	Hellkite move logic test 1
logic　ヘルカイト移動テスト２	Hellkite move logic test 2
logic　ヘルカイト移動テスト３	Hellkite move logic test 3
logic　ヘルカイト移動テスト４	Hellkite move logic test 4
logic　ヘルカイト移動テスト５	Hellkite move logic test 5
logic　ヘルカイト移動テスト６	Hellkite move logic test 6
logic　ヘルカイト移動テスト７	Hellkite move logic test 7
navimesh 教会レバー ナビメッシュ用領域	navimesh church lever navigation mesh area
navimesh 汎用扉05_1 ナビメッシュ用領域	navimesh general-purpose door 05_1 navigation mesh area
navimesh 汎用扉05_2 ナビメッシュ用領域	navimesh general-purpose door 05_2 navigation mesh area
navimesh 汎用扉06 ナビメッシュ用領域	navimesh 06 general-purpose door navigation mesh area
navimesh 汎用扉08 ナビメッシュ用領域	navimesh 08 general-purpose door navigation mesh area
navimesh 汎用扉10 ナビメッシュ用領域	navimesh 10 general-purpose door navigation mesh area
navimesh 汎用扉11 ナビメッシュノードバンク	navimesh 11 general-purpose door navigation mesh node bank
navimesh 汎用扉12 ナビメッシュ用領域	navimesh 12 general-purpose door navigation mesh area
navimesh 汎用扉13 ナビメッシュ用領域	navimesh 13 general-purpose door navigation mesh area
navimesh 汎用扉14 ナビメッシュ用領域	navimesh 14 general-purpose door navigation mesh area
navimesh 汎用扉17 ナビメッシュノードバンク	navimesh 17 general-purpose door navigation mesh node bank
navimesh 汎用扉18 ナビメッシュノードバンク	navimesh 18 general-purpose door navigation mesh node bank
移動ポイント 軽騎士04_00	Moving point light knight 04_00
移動ポイント 軽騎士04_01	Moving point light knight 04_01
移動ポイント 黒犬01_00	Move point black dog 01_00
移動ポイント 黒犬01_01	Move point black dog 01_01
移動ポイント 黒犬02_00	Move point black dog 02_00
移動ポイント 黒犬02_01	Move point black dog 02_01
移動ポイント 重戦士03_00	Movement points heavy warrior 03_00
